Input,Output
"[-3.864087817146612, -1.7908272540865742, 0.3347782494789855, -7.604817745689037, 0.7639959414476649]","[-3.790809142276749, -1.8377778749658837, 0.28902524441389266, -7.5893839708088535, 0.7106128448596382]"
"[-3.790809142276749, -1.8377778749658837, 0.28902524441389266, -7.5893839708088535, 0.7106128448596382]","[-3.704122275859384, -1.7840404669239112, 0.3151697354155701, -7.62094121421528, 0.738851621028226]"
"[-3.704122275859384, -1.7840404669239112, 0.3151697354155701, -7.62094121421528, 0.738851621028226]","[-3.618269046103121, -1.709549329187678, 0.25397423979828293, -7.632472183443173, 0.7446559504661462]"
"[-3.618269046103121, -1.709549329187678, 0.25397423979828293, -7.632472183443173, 0.7446559504661462]","[-3.676208665279267, -1.6176189860405257, 0.22775178285614478, -7.535460751933713, 0.7273206741325432]"
"[-3.676208665279267, -1.6176189860405257, 0.22775178285614478, -7.535460751933713, 0.7273206741325432]","[-3.6203783085310666, -1.579037026579114, 0.22128601177123888, -7.475934882628302, 0.8015850153429411]"
"[-3.6203783085310666, -1.579037026579114, 0.22128601177123888, -7.475934882628302, 0.8015850153429411]","[-3.5478878238985505, -1.5788803339022113, 0.1923318900789958, -7.543747377836001, 0.7886855572635709]"
"[-3.5478878238985505, -1.5788803339022113, 0.1923318900789958, -7.543747377836001, 0.7886855572635709]","[-3.5250645970564793, -1.5904491640150982, 0.19257328544028934, -7.6422874086720025, 0.7648395867255893]"
"[-3.5250645970564793, -1.5904491640150982, 0.19257328544028934, -7.6422874086720025, 0.7648395867255893]","[-3.554451202364701, -1.63513087662124, 0.26545134486056454, -7.647840274310609, 0.772909725667849]"
"[-3.554451202364701, -1.63513087662124, 0.26545134486056454, -7.647840274310609, 0.772909725667849]","[-3.455082125947421, -1.6448084045085918, 0.31897635030656957, -7.67908678891177, 0.7756453794204377]"
"[-3.455082125947421, -1.6448084045085918, 0.31897635030656957, -7.67908678891177, 0.7756453794204377]","[-3.44434832227518, -1.7149966769217548, 0.3441713997095699, -7.601274686923375, 0.8556663421848285]"
"[-3.44434832227518, -1.7149966769217548, 0.3441713997095699, -7.601274686923375, 0.8556663421848285]","[-3.4421068788149176, -1.7047868923612737, 0.4266665702211241, -7.520801890657864, 0.9240928977684518]"
"[-3.4421068788149176, -1.7047868923612737, 0.4266665702211241, -7.520801890657864, 0.9240928977684518]","[-3.407648027773508, -1.7896153062778666, 0.3703185835648068, -7.593068734530407, 0.9076501736241647]"
"[-3.407648027773508, -1.7896153062778666, 0.3703185835648068, -7.593068734530407, 0.9076501736241647]","[-3.4014071672407025, -1.8539970429323447, 0.36199981127568326, -7.505328775382568, 1.0056026555279378]"
"[-3.4014071672407025, -1.8539970429323447, 0.36199981127568326, -7.505328775382568, 1.0056026555279378]","[-3.450082945541634, -1.91686718418478, 0.45180964093429066, -7.4405369310892535, 1.0663199423344951]"
"[-3.450082945541634, -1.91686718418478, 0.45180964093429066, -7.4405369310892535, 1.0663199423344951]","[-3.5218215528615255, -1.917571922992517, 0.5062722554700151, -7.521652826632646, 1.074292964477475]"
"[-3.5218215528615255, -1.917571922992517, 0.5062722554700151, -7.521652826632646, 1.074292964477475]","[-3.487919697962795, -1.9844640430691807, 0.4206196912731585, -7.484197357191308, 0.9819153533414569]"
"[-3.487919697962795, -1.9844640430691807, 0.4206196912731585, -7.484197357191308, 0.9819153533414569]","[-3.465882905243481, -1.8863218863114999, 0.49074237566944007, -7.518578398704572, 0.9359783001108135]"
"[-3.465882905243481, -1.8863218863114999, 0.49074237566944007, -7.518578398704572, 0.9359783001108135]","[-3.561682347012301, -1.919413483686624, 0.470989414520363, -7.490529280248417, 0.8467879344523779]"
"[-3.561682347012301, -1.919413483686624, 0.470989414520363, -7.490529280248417, 0.8467879344523779]","[-3.5200471634770163, -1.976952533667828, 0.4681420214712906, -7.493710200551537, 0.9400330139976021]"
"[-3.5200471634770163, -1.976952533667828, 0.4681420214712906, -7.493710200551537, 0.9400330139976021]","[-3.4953953914982385, -1.9370792126110488, 0.44069783447678074, -7.577689921917935, 0.8421127612991977]"
"[-3.4953953914982385, -1.9370792126110488, 0.44069783447678074, -7.577689921917935, 0.8421127612991977]","[-3.5007386768068836, -1.864132495003208, 0.5352243299147492, -7.583063904289321, 0.7800207150385571]"
"[-3.5007386768068836, -1.864132495003208, 0.5352243299147492, -7.583063904289321, 0.7800207150385571]","[-3.570542192083848, -1.8853428661825749, 0.4909636079035111, -7.498309351269219, 0.8640437701673443]"
"[-3.570542192083848, -1.8853428661825749, 0.4909636079035111, -7.498309351269219, 0.8640437701673443]","[-3.4816353519340426, -1.9536148718690487, 0.44564261274533307, -7.459253950715556, 0.8567573542115787]"
"[-3.4816353519340426, -1.9536148718690487, 0.44564261274533307, -7.459253950715556, 0.8567573542115787]","[-3.4259258277633693, -1.8591057049173962, 0.3519773758917662, -7.442358120077554, 0.9116133438107463]"
"[-3.4259258277633693, -1.8591057049173962, 0.3519773758917662, -7.442358120077554, 0.9116133438107463]","[-3.5173820497985657, -1.7620837258458426, 0.4444220398638966, -7.387460215839788, 0.8881071837832852]"
"[-3.5173820497985657, -1.7620837258458426, 0.4444220398638966, -7.387460215839788, 0.8881071837832852]","[-3.562833316143654, -1.8450064001948776, 0.49482468426019666, -7.453052249266158, 0.8804150423379732]"
"[-3.562833316143654, -1.8450064001948776, 0.49482468426019666, -7.453052249266158, 0.8804150423379732]","[-3.469221485181875, -1.821004834036744, 0.5525140341314516, -7.378124705483755, 0.9656974523763887]"
"[-3.469221485181875, -1.821004834036744, 0.5525140341314516, -7.378124705483755, 0.9656974523763887]","[-3.5357634325356653, -1.74164696170653, 0.6321177743379495, -7.438891447080649, 0.9224124861993591]"
"[-3.5357634325356653, -1.74164696170653, 0.6321177743379495, -7.438891447080649, 0.9224124861993591]","[-3.5755697575682177, -1.6605414135863463, 0.7021251233382684, -7.437123794515203, 1.020839347987305]"
"[-3.5755697575682177, -1.6605414135863463, 0.7021251233382684, -7.437123794515203, 1.020839347987305]","[-3.4967909374077646, -1.6492328314481957, 0.6042053724084702, -7.447547052484248, 0.9445200822401952]"
"[-3.4967909374077646, -1.6492328314481957, 0.6042053724084702, -7.447547052484248, 0.9445200822401952]","[-3.4343833287864034, -1.7296344156599524, 0.5672833455335544, -7.434108204851193, 0.8513650366981038]"
"[-3.4343833287864034, -1.7296344156599524, 0.5672833455335544, -7.434108204851193, 0.8513650366981038]","[-3.3762709019352055, -1.6789084998807526, 0.5906754721100803, -7.397067660220551, 0.8409327625658932]"
"[-3.3762709019352055, -1.6789084998807526, 0.5906754721100803, -7.397067660220551, 0.8409327625658932]","[-3.411386128085006, -1.6581419976537828, 0.6898215131927606, -7.444968972930537, 0.7783886837196805]"
"[-3.411386128085006, -1.6581419976537828, 0.6898215131927606, -7.444968972930537, 0.7783886837196805]","[-3.4975742415295548, -1.6395681477121764, 0.6038570899652255, -7.36341839691349, 0.8732445415353196]"
"[-3.4975742415295548, -1.6395681477121764, 0.6038570899652255, -7.36341839691349, 0.8732445415353196]","[-3.416164001501063, -1.689252672778251, 0.5499711891267087, -7.3795414953458796, 0.8824067228802219]"
"[-3.416164001501063, -1.689252672778251, 0.5499711891267087, -7.3795414953458796, 0.8824067228802219]","[-3.3263149689227998, -1.6986684963927123, 0.5191332962146333, -7.310475000290853, 0.9043997296840387]"
"[-3.3263149689227998, -1.6986684963927123, 0.5191332962146333, -7.310475000290853, 0.9043997296840387]","[-3.2472017012832834, -1.6086549896855988, 0.5598505996036909, -7.218558862704855, 0.9822951965442579]"
"[-3.2472017012832834, -1.6086549896855988, 0.5598505996036909, -7.218558862704855, 0.9822951965442579]","[-3.323745445468723, -1.6142218295385227, 0.501628360324588, -7.225559864759936, 0.9460325629183906]"
"[-3.323745445468723, -1.6142218295385227, 0.501628360324588, -7.225559864759936, 0.9460325629183906]","[-3.300615291688696, -1.6134132316182563, 0.41611134655774495, -7.217778327060317, 0.9272176758218239]"
"[-3.300615291688696, -1.6134132316182563, 0.41611134655774495, -7.217778327060317, 0.9272176758218239]","[-3.2626660623336954, -1.6621881375235354, 0.42441763342410666, -7.298876008043673, 0.8449248072724725]"
"[-3.2626660623336954, -1.6621881375235354, 0.42441763342410666, -7.298876008043673, 0.8449248072724725]","[-3.3559637116472403, -1.7027773658179648, 0.5055433263319018, -7.225839774451053, 0.9347514505405263]"
"[-3.3559637116472403, -1.7027773658179648, 0.5055433263319018, -7.225839774451053, 0.9347514505405263]","[-3.3791330261218016, -1.7503052267430148, 0.4943797229486197, -7.209208911629033, 0.8400820812359473]"
"[-3.3791330261218016, -1.7503052267430148, 0.4943797229486197, -7.209208911629033, 0.8400820812359473]","[-3.3778811493919263, -1.776682768192299, 0.5839645910176117, -7.217155244076731, 0.9309081288565104]"
"[-3.3778811493919263, -1.776682768192299, 0.5839645910176117, -7.217155244076731, 0.9309081288565104]","[-3.361035397075482, -1.7327723627121872, 0.6248471184771694, -7.180813422691686, 1.019546029668168]"
"[-3.361035397075482, -1.7327723627121872, 0.6248471184771694, -7.180813422691686, 1.019546029668168]","[-3.3475808029442473, -1.7555620373042784, 0.7173112250193296, -7.257943626645115, 0.9895794829998545]"
"[-3.3475808029442473, -1.7555620373042784, 0.7173112250193296, -7.257943626645115, 0.9895794829998545]","[-3.4060410927450326, -1.7368078149978743, 0.7880293842482475, -7.2813162092952854, 0.8948029624748083]"
"[-3.4060410927450326, -1.7368078149978743, 0.7880293842482475, -7.2813162092952854, 0.8948029624748083]","[-3.3979125399242154, -1.7081626639541905, 0.6904113975730723, -7.193722903236201, 0.9521398408587277]"
"[-3.3979125399242154, -1.7081626639541905, 0.6904113975730723, -7.193722903236201, 0.9521398408587277]","[-3.321600153793356, -1.7878895421198515, 0.7137122907845665, -7.116320902220451, 0.9853726492814189]"
"[-3.321600153793356, -1.7878895421198515, 0.7137122907845665, -7.116320902220451, 0.9853726492814189]","[-3.2386005099049253, -1.7573009712678713, 0.6324001820556628, -7.1844796390256995, 0.9543001774794302]"
"[-3.2386005099049253, -1.7573009712678713, 0.6324001820556628, -7.1844796390256995, 0.9543001774794302]","[-3.267145416009425, -1.691168483412921, 0.7071682819025322, -7.255015764003499, 0.9715371321282019]"
"[-3.267145416009425, -1.691168483412921, 0.7071682819025322, -7.255015764003499, 0.9715371321282019]","[-3.31860928393162, -1.6384865854481694, 0.752400223313059, -7.193093970781965, 1.0367525089964404]"
"[-3.31860928393162, -1.6384865854481694, 0.752400223313059, -7.193093970781965, 1.0367525089964404]","[-3.285272006856914, -1.589171235625578, 0.7477950567892051, -7.284442125532083, 0.9422502023130537]"
"[-3.285272006856914, -1.589171235625578, 0.7477950567892051, -7.284442125532083, 0.9422502023130537]","[-3.3475851731543798, -1.6086671638937367, 0.8046839910195048, -7.272640082880254, 0.9199728615994317]"
"[-3.3475851731543798, -1.6086671638937367, 0.8046839910195048, -7.272640082880254, 0.9199728615994317]","[-3.3908570718066073, -1.6947003466236343, 0.7361497509262024, -7.1853846036087905, 0.8398234454172778]"
"[-3.3908570718066073, -1.6947003466236343, 0.7361497509262024, -7.1853846036087905, 0.8398234454172778]","[-3.395742769825954, -1.7115872883210246, 0.7515640119429594, -7.2674389947001865, 0.9169884504140448]"
"[-3.395742769825954, -1.7115872883210246, 0.7515640119429594, -7.2674389947001865, 0.9169884504140448]","[-3.447649165689609, -1.7943947455534024, 0.734343483293504, -7.270747536073239, 0.936056626374039]"
"[-3.447649165689609, -1.7943947455534024, 0.734343483293504, -7.270747536073239, 0.936056626374039]","[-3.3989041804351974, -1.80074755977529, 0.7593696053177883, -7.284648208545787, 0.9754136783747862]"
"[-3.3989041804351974, -1.80074755977529, 0.7593696053177883, -7.284648208545787, 0.9754136783747862]","[-3.4122479322747497, -1.8537257344874662, 0.7208639168625439, -7.26456847628028, 0.9367899246594186]"
"[-3.4122479322747497, -1.8537257344874662, 0.7208639168625439, -7.26456847628028, 0.9367899246594186]","[-3.412127848343644, -1.8581863797414313, 0.6613125143860423, -7.345631351043237, 0.9350818618470406]"
"[-3.412127848343644, -1.8581863797414313, 0.6613125143860423, -7.345631351043237, 0.9350818618470406]","[-3.352295297074198, -1.8904163290046556, 0.677601301624038, -7.264412413403877, 0.8599445816916613]"
"[-3.352295297074198, -1.8904163290046556, 0.677601301624038, -7.264412413403877, 0.8599445816916613]","[-3.3853453267755236, -1.890121160454379, 0.7333042631629915, -7.21219213113651, 0.7911764860894196]"
"[-3.3853453267755236, -1.890121160454379, 0.7333042631629915, -7.21219213113651, 0.7911764860894196]","[-3.3530246014841705, -1.8076663013744727, 0.7609053450332708, -7.140264427729916, 0.8796882796900847]"
"[-3.3530246014841705, -1.8076663013744727, 0.7609053450332708, -7.140264427729916, 0.8796882796900847]","[-3.363638244460784, -1.8854566778946111, 0.7048085159695081, -7.122136977522963, 0.9511706060782974]"
"[-3.363638244460784, -1.8854566778946111, 0.7048085159695081, -7.122136977522963, 0.9511706060782974]","[-3.2957680173386033, -1.9377182258914383, 0.7596771813615188, -7.137999065016447, 1.0156930444578716]"
"[-3.2957680173386033, -1.9377182258914383, 0.7596771813615188, -7.137999065016447, 1.0156930444578716]","[-3.3623615236745543, -1.872837064401449, 0.6732131207890621, -7.169183584027949, 1.0759049553736233]"
"[-3.3623615236745543, -1.872837064401449, 0.6732131207890621, -7.169183584027949, 1.0759049553736233]","[-3.3986545300216844, -1.8846457622300263, 0.6008284886210984, -7.235325046505542, 1.1102723907072294]"
"[-3.3986545300216844, -1.8846457622300263, 0.6008284886210984, -7.235325046505542, 1.1102723907072294]","[-3.4961461889884706, -1.9399667667589178, 0.5328066087866613, -7.225343435165232, 1.1298940748238715]"
"[-3.4961461889884706, -1.9399667667589178, 0.5328066087866613, -7.225343435165232, 1.1298940748238715]","[-3.4948220680966466, -1.9670959760657607, 0.5558649132839997, -7.139399512084061, 1.1609527588263167]"
"[-3.4948220680966466, -1.9670959760657607, 0.5558649132839997, -7.139399512084061, 1.1609527588263167]","[-3.5177014684060097, -1.9982460632448573, 0.6435113209217445, -7.199447081808569, 1.2579193678157843]"
"[-3.5177014684060097, -1.9982460632448573, 0.6435113209217445, -7.199447081808569, 1.2579193678157843]","[-3.539318518126988, -1.9890350345208232, 0.7103495086975532, -7.269412578652473, 1.2264893887251893]"
"[-3.539318518126988, -1.9890350345208232, 0.7103495086975532, -7.269412578652473, 1.2264893887251893]","[-3.463657861694984, -1.9551462585772281, 0.627670476010966, -7.180583734428412, 1.2038264871300506]"
"[-3.463657861694984, -1.9551462585772281, 0.627670476010966, -7.180583734428412, 1.2038264871300506]","[-3.416799461876337, -1.9157955600065582, 0.6932691097573142, -7.148872764258045, 1.2288691206084439]"
"[-3.416799461876337, -1.9157955600065582, 0.6932691097573142, -7.148872764258045, 1.2288691206084439]","[-3.4397480058972083, -1.9290616577083446, 0.6559323584393629, -7.229696213348722, 1.2703545877949574]"
"[-3.4397480058972083, -1.9290616577083446, 0.6559323584393629, -7.229696213348722, 1.2703545877949574]","[-3.508096531126723, -1.8986396021079162, 0.6007941967953201, -7.3206724802212, 1.2709837474625745]"
"[-3.508096531126723, -1.8986396021079162, 0.6007941967953201, -7.3206724802212, 1.2709837474625745]","[-3.41215344116757, -1.9058763629663782, 0.5548176837942396, -7.258608387752402, 1.3544562499591657]"
"[-3.41215344116757, -1.9058763629663782, 0.5548176837942396, -7.258608387752402, 1.3544562499591657]","[-3.3140295607440162, -1.9867511782119571, 0.5042120312353179, -7.284336598122277, 1.4438137045663422]"
"[-3.3140295607440162, -1.9867511782119571, 0.5042120312353179, -7.284336598122277, 1.4438137045663422]","[-3.3956003162574446, -1.9054624202610353, 0.48700581108473373, -7.347439732358808, 1.4268249295705844]"
"[-3.3956003162574446, -1.9054624202610353, 0.48700581108473373, -7.347439732358808, 1.4268249295705844]","[-3.3989990655036557, -1.973829236269467, 0.5486470740364382, -7.348385770427521, 1.5137757039623112]"
